Linux 3.10.0-514.el7.x86_64 (localhost.localdomain) 	02/24/2020 	_x86_64_	(48 CPU)

12:58:10 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
12:58:11 AM     all      0.00      0.00      0.02      0.00      0.00     99.98
12:58:11 AM       0      0.00      0.00      0.00      0.00      0.00    100.00
12:58:11 AM       1      0.00      0.00      0.00      0.00      0.00    100.00
12:58:11 AM       2      0.00      0.00      0.00      0.00      0.00    100.00
12:58:11 AM       3      0.00      0.00      0.00      0.00      0.00    100.00
12:58:11 AM       4      0.00      0.00      0.00      0.00      0.00    100.00
12:58:11 AM       5      0.00      0.00      0.00      0.00      0.00    100.00
12:58:11 AM       6      0.00      0.00      0.00      0.00      0.00    100.00
12:58:11 AM       7      0.00      0.00      0.00      0.00      0.00    100.00
12:58:11 AM       8      0.00      0.00      0.00      0.00      0.00    100.00
12:58:11 AM       9      0.00      0.00      0.00      0.00      0.00    100.00
12:58:11 AM      10      0.00      0.00      0.00      0.00      0.00    100.00
12:58:11 AM      11      0.00      0.00      0.00      0.00      0.00    100.00
12:58:11 AM      12      0.00      0.00      0.00      0.00      0.00    100.00
12:58:11 AM      13      0.00      0.00      0.00      0.00      0.00    100.00
12:58:11 AM      14      0.00      0.00      0.00      0.00      0.00    100.00
12:58:11 AM      15      0.00      0.00      0.00      0.00      0.00    100.00
12:58:11 AM      16      0.00      0.00      0.00      0.00      0.00    100.00
12:58:11 AM      17      0.00      0.00      0.00      0.00      0.00    100.00
12:58:11 AM      18      0.00      0.00      0.00      0.00      0.00    100.00
12:58:11 AM      19      0.00      0.00      0.00      0.00      0.00    100.00
12:58:11 AM      20      0.00      0.00      0.00      0.00      0.00    100.00
12:58:11 AM      21      0.00      0.00      0.00      0.00      0.00    100.00
12:58:11 AM      22      0.00      0.00      0.00      0.00      0.00    100.00
12:58:11 AM      23      0.00      0.00      0.00      0.00      0.00    100.00
12:58:11 AM      24      0.00      0.00      0.00      0.00      0.00    100.00
12:58:11 AM      25      0.00      0.00      0.00      0.00      0.00    100.00
12:58:11 AM      26      0.00      0.00      0.00      0.00      0.00    100.00
12:58:11 AM      27      0.00      0.00      0.00      0.00      0.00    100.00
12:58:11 AM      28      0.00      0.00      0.00      0.00      0.00    100.00
12:58:11 AM      29      0.00      0.00      0.00      0.00      0.00    100.00
12:58:11 AM      30      0.00      0.00      0.00      0.00      0.00    100.00
12:58:11 AM      31      0.00      0.00      0.00      0.00      0.00    100.00
12:58:11 AM      32      0.00      0.00      0.00      0.00      0.00    100.00
12:58:11 AM      33      0.00      0.00      0.00      0.00      0.00    100.00
12:58:11 AM      34      0.00      0.00      0.00      0.00      0.00    100.00
12:58:11 AM      35      0.00      0.00      0.00      0.00      0.00    100.00
12:58:11 AM      36      0.00      0.00      0.00      0.00      0.00    100.00
12:58:11 AM      37      0.00      0.00      1.00      0.00      0.00     99.00
12:58:11 AM      38      0.00      0.00      0.00      0.00      0.00    100.00
12:58:11 AM      39      0.00      0.00      0.00      0.00      0.00    100.00
12:58:11 AM      40      0.00      0.00      0.00      0.00      0.00    100.00
12:58:11 AM      41      0.00      0.00      0.00      0.00      0.00    100.00
12:58:11 AM      42      0.00      0.00      0.00      0.00      0.00    100.00
12:58:11 AM      43      0.00      0.00      0.00      0.00      0.00    100.00
12:58:11 AM      44      0.00      0.00      0.00      0.00      0.00    100.00
12:58:11 AM      45      0.00      0.00      0.00      0.00      0.00    100.00
12:58:11 AM      46      0.00      0.00      0.00      0.00      0.00    100.00
